endpoint,label,pillar,task,metric,gen,model,value,sd,secondary,n_seed,leak_flag,source
bbb_martins,BBB 투과,D,cls,AUROC,G3,admetai,0.9504,0.0,0.9823,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,G5,chemberta,0.846,0.0173,0.9449,5,누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,G3,dmpnn_ours,0.8563,0.028,0.9458,5,누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,G5,molformer,0.872,0.0151,0.9546,5,누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,G2,rf_physchem,0.9059,0.0055,0.9711,5,누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,G4,unimol,0.8578,0.0188,0.9486,5,누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,G2,xgb_ecfp,0.8708,0.0175,0.9553,5,누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,G2,xgb_physchem,0.8993,0.0079,0.9674,5,누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,G3,admetai,0.8407,0.0,0.9324,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,G5,chemberta,0.6033,0.0924,0.8232,5,누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,G3,dmpnn_ours,0.5326,0.0256,0.7867,5,누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,G5,molformer,0.6968,0.0269,0.8822,5,누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,G2,rf_physchem,0.7289,0.0117,0.8971,5,누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,G4,unimol,0.6814,0.0503,0.8538,5,누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,G2,xgb_ecfp,0.695,0.022,0.8716,5,누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,G2,xgb_physchem,0.7427,0.0111,0.902,5,누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,G3,admetai,0.2177,0.0,0.2177,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,G5,chemberta,0.4451,0.0659,0.4451,5,누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,G3,dmpnn_ours,0.3359,0.0302,0.3359,5,누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,G5,molformer,0.3393,0.0163,0.3393,5,누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,G2,rf_physchem,0.3072,0.0028,0.3072,5,누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,G4,unimol,0.3326,0.0089,0.3326,5,누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,G2,xgb_ecfp,0.3914,0.0498,0.3914,5,누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,G2,xgb_physchem,0.3037,0.0083,0.3037,5,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,G3,admetai,0.6726,0.0,25.2054,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,G5,chemberta,0.3118,0.1456,35.9898,5,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,G3,dmpnn_ours,0.3311,0.0213,35.7455,5,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,G5,molformer,0.4214,0.0316,34.7054,5,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,G2,rf_physchem,0.4219,0.0167,35.9352,5,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,G4,unimol,0.4244,0.0514,32.6444,5,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,G2,xgb_ecfp,0.3693,0.0386,37.0391,5,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,G2,xgb_physchem,0.4212,0.0083,34.7982,5,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,G3,admetai,0.7582,0.0,15.6802,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,G5,chemberta,0.4308,0.2601,29.4394,5,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,G3,dmpnn_ours,0.5629,0.0447,26.1449,5,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,G5,molformer,0.5289,0.1434,28.6022,5,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,G2,rf_physchem,0.544,0.0139,27.2842,5,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,G4,unimol,0.5765,0.0176,22.5513,5,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,G2,xgb_ecfp,0.4272,0.0257,28.7204,5,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,G2,xgb_physchem,0.5507,0.0288,26.1045,5,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,G3,admetai,0.7802,0.0,0.5684,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,G5,chemberta,0.5665,0.0629,0.3714,5,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,G3,dmpnn_ours,0.6245,0.0226,0.3945,5,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,G5,molformer,0.6131,0.0233,0.3944,5,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,G2,rf_physchem,0.622,0.0141,0.4063,5,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,G4,unimol,0.5666,0.0254,0.3492,5,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,G2,xgb_ecfp,0.5941,0.0155,0.3585,5,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,G2,xgb_physchem,0.5959,0.012,0.3635,5,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,G3,admetai,0.9396,0.0,0.8709,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,G5,chemberta,0.877,0.0025,0.7439,5,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,G3,dmpnn_ours,0.8777,0.0035,0.7285,5,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,G5,molformer,0.8861,0.0022,0.7719,5,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,G2,rf_physchem,0.8728,0.0015,0.7533,5,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,G4,unimol,0.8648,0.0067,0.7496,5,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,G2,xgb_ecfp,0.8718,0.0029,0.7456,5,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,G2,xgb_physchem,0.8877,0.002,0.7626,5,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,G3,admetai,0.8808,0.0,0.7905,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,G5,chemberta,0.7043,0.1504,0.5299,5,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,G3,dmpnn_ours,0.7658,0.034,0.6128,5,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,G5,molformer,0.8018,0.0107,0.6865,5,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,G2,rf_physchem,0.8093,0.0091,0.6799,5,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,G4,unimol,0.7803,0.0353,0.6455,5,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,G2,xgb_ecfp,0.7575,0.0225,0.613,5,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,G2,xgb_physchem,0.8193,0.0052,0.6611,5,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,G3,admetai,0.9353,0.0,0.8052,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,G5,chemberta,0.8567,0.0031,0.6417,5,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,G3,dmpnn_ours,0.8619,0.0023,0.6373,5,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,G5,molformer,0.8651,0.0046,0.6587,5,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,G2,rf_physchem,0.8521,0.0015,0.6483,5,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,G4,unimol,0.8501,0.0056,0.6434,5,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,G2,xgb_ecfp,0.8505,0.005,0.6299,5,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,G2,xgb_physchem,0.8675,0.0032,0.6745,5,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,G3,admetai,0.7509,0.0,0.792,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,G5,chemberta,0.5629,0.0308,0.6357,5,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,G3,dmpnn_ours,0.5745,0.0178,0.6369,5,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,G5,molformer,0.6275,0.0174,0.6782,5,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,G2,rf_physchem,0.6559,0.0191,0.7215,5,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,G4,unimol,0.645,0.0327,0.6972,5,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,G2,xgb_ecfp,0.6456,0.018,0.7117,5,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,G2,xgb_physchem,0.6405,0.0198,0.6934,5,누수 0,results/progress.jsonl
cyp3a4_veith,CYP3A4 억제,M,cls,AUROC,G3,admetai,0.9447,0.0,0.9311,1,★누수 의심(TDC 전체 사전학습),results/progress.jsonl
cyp3a4_veith,CYP3A4 억제,M,cls,AUROC,G5,chemberta,0.8627,0.0019,0.8281,5,누수 0,results/progress.jsonl
