endpoint,metric,best,other,delta,ci_lo,ci_hi,distinguishable
caco2_wang,MAE,xgb_physchem,rf_physchem,-0.0113,-0.0224,-0.0002,True
caco2_wang,MAE,xgb_physchem,xgb_ecfp,-0.0866,-0.1239,-0.0491,True
caco2_wang,MAE,xgb_physchem,dmpnn_ours,-0.0338,-0.0615,-0.0063,True
hia_hou,AUROC,xgb_physchem,rf_physchem,0.0047,-0.0176,0.0268,False
hia_hou,AUROC,xgb_physchem,xgb_ecfp,0.0256,-0.0195,0.0732,False
hia_hou,AUROC,xgb_physchem,dmpnn_ours,0.0597,-0.003,0.1579,False
bioavailability_ma,AUROC,xgb_physchem,rf_physchem,0.0157,-0.0297,0.0627,False
bioavailability_ma,AUROC,xgb_physchem,xgb_ecfp,0.037,-0.0445,0.1171,False
bioavailability_ma,AUROC,xgb_physchem,dmpnn_ours,0.214,0.1021,0.3249,True
pgp_broccatelli,AUROC,xgb_physchem,rf_physchem,0.0162,-0.0017,0.036,False
pgp_broccatelli,AUROC,xgb_physchem,xgb_ecfp,0.0107,-0.0171,0.0387,False
pgp_broccatelli,AUROC,xgb_physchem,dmpnn_ours,0.0072,-0.0213,0.0355,False
lipophilicity_astrazeneca,MAE,dmpnn_ours,xgb_physchem,-0.1233,-0.1495,-0.0969,True
lipophilicity_astrazeneca,MAE,dmpnn_ours,rf_physchem,-0.2044,-0.2348,-0.1734,True
lipophilicity_astrazeneca,MAE,dmpnn_ours,xgb_ecfp,-0.248,-0.2833,-0.213,True
solubility_aqsoldb,MAE,xgb_physchem,rf_physchem,-0.0781,-0.0914,-0.0642,True
solubility_aqsoldb,MAE,xgb_physchem,xgb_ecfp,-0.5191,-0.5591,-0.4791,True
solubility_aqsoldb,MAE,xgb_physchem,dmpnn_ours,-0.0082,-0.0322,0.015,False
bbb_martins,AUROC,rf_physchem,xgb_physchem,0.0054,-0.014,0.0266,False
bbb_martins,AUROC,rf_physchem,xgb_ecfp,0.0305,-0.0019,0.065,False
bbb_martins,AUROC,rf_physchem,dmpnn_ours,0.0411,0.0111,0.0756,True
ppbr_az,MAE,xgb_physchem,rf_physchem,-0.5953,-0.8798,-0.3323,True
ppbr_az,MAE,xgb_physchem,xgb_ecfp,-2.1931,-3.0991,-1.2809,True
ppbr_az,MAE,xgb_physchem,dmpnn_ours,-0.0582,-0.7187,0.5893,False
vdss_lombardo,Spearman,rf_physchem,xgb_physchem,0.0163,-0.0446,0.0828,False
vdss_lombardo,Spearman,rf_physchem,xgb_ecfp,0.155,0.0575,0.2604,True
vdss_lombardo,Spearman,rf_physchem,dmpnn_ours,0.0393,-0.0502,0.1243,False
cyp2c9_veith,AUROC,xgb_physchem,rf_physchem,0.0166,0.0108,0.0225,True
cyp2c9_veith,AUROC,xgb_physchem,xgb_ecfp,0.0158,0.0061,0.0257,True
cyp2c9_veith,AUROC,xgb_physchem,dmpnn_ours,0.0083,-0.0004,0.017,False
cyp2d6_veith,AUROC,xgb_physchem,rf_physchem,0.0186,0.0088,0.029,True
cyp2d6_veith,AUROC,xgb_physchem,xgb_ecfp,0.0182,0.0025,0.0334,True
cyp2d6_veith,AUROC,xgb_physchem,dmpnn_ours,0.0039,-0.0102,0.0179,False
cyp3a4_veith,AUROC,dmpnn_ours,xgb_physchem,0.0056,-0.0044,0.0154,False
cyp3a4_veith,AUROC,dmpnn_ours,rf_physchem,0.0248,0.0141,0.0359,True
cyp3a4_veith,AUROC,dmpnn_ours,xgb_ecfp,0.0202,0.0101,0.0299,True
cyp2c9_substrate_carbonmangels,AUROC,dmpnn_ours,xgb_physchem,0.027,-0.0553,0.104,False
cyp2c9_substrate_carbonmangels,AUROC,dmpnn_ours,rf_physchem,0.0027,-0.0748,0.0772,False
cyp2c9_substrate_carbonmangels,AUROC,dmpnn_ours,xgb_ecfp,0.0315,-0.0648,0.126,False
cyp2d6_substrate_carbonmangels,AUROC,xgb_physchem,rf_physchem,0.006,-0.0185,0.0315,False
cyp2d6_substrate_carbonmangels,AUROC,xgb_physchem,xgb_ecfp,0.048,-0.0065,0.1069,False
cyp2d6_substrate_carbonmangels,AUROC,xgb_physchem,dmpnn_ours,0.0402,-0.0103,0.0929,False
cyp3a4_substrate_carbonmangels,AUROC,rf_physchem,xgb_physchem,0.0192,-0.0203,0.0601,False
cyp3a4_substrate_carbonmangels,AUROC,rf_physchem,xgb_ecfp,0.0135,-0.0641,0.0894,False
cyp3a4_substrate_carbonmangels,AUROC,rf_physchem,dmpnn_ours,0.0875,0.0198,0.1553,True
half_life_obach,Spearman,xgb_physchem,rf_physchem,0.043,-0.0566,0.135,False
half_life_obach,Spearman,xgb_physchem,xgb_ecfp,0.0723,-0.1417,0.2884,False
half_life_obach,Spearman,xgb_physchem,dmpnn_ours,0.1363,-0.0567,0.3323,False
clearance_hepatocyte_az,Spearman,xgb_physchem,rf_physchem,0.0527,0.0017,0.1072,True
clearance_hepatocyte_az,Spearman,xgb_physchem,xgb_ecfp,0.0887,-0.0296,0.2039,False
clearance_hepatocyte_az,Spearman,xgb_physchem,dmpnn_ours,0.1351,0.0516,0.2226,True
clearance_microsome_az,Spearman,dmpnn_ours,xgb_physchem,0.0117,-0.0604,0.0816,False
clearance_microsome_az,Spearman,dmpnn_ours,rf_physchem,0.0413,-0.0293,0.1088,False
clearance_microsome_az,Spearman,dmpnn_ours,xgb_ecfp,0.1397,0.0524,0.2303,True
