endpoint,label,pillar,task,metric,stack,value,sd,n_seed,source,delta_vs_prev
bbb_martins,BBB 투과,D,cls,AUROC,ecfp,0.8708,0.0175,5,results/progress.jsonl,
bbb_martins,BBB 투과,D,cls,AUROC,+phys,0.905,0.0038,5,results/progress.jsonl,0.0342
bbb_martins,BBB 투과,D,cls,AUROC,+ion,0.9029,0.0078,5,results/progress.jsonl,-0.0021
bbb_martins,BBB 투과,D,cls,AUROC,+3d,0.9044,0.0039,5,results/progress.jsonl,0.0015
bbb_martins,BBB 투과,D,cls,AUROC,+medchem,0.9037,0.0043,5,results/progress.jsonl,-0.0007
bioavailability_ma,경구 생체이용률,A,cls,AUROC,ecfp,0.695,0.022,5,results/progress.jsonl,
bioavailability_ma,경구 생체이용률,A,cls,AUROC,+phys,0.7433,0.011,5,results/progress.jsonl,0.0483
bioavailability_ma,경구 생체이용률,A,cls,AUROC,+ion,0.7381,0.0121,5,results/progress.jsonl,-0.0052
bioavailability_ma,경구 생체이용률,A,cls,AUROC,+3d,0.7387,0.0121,5,results/progress.jsonl,0.0006
bioavailability_ma,경구 생체이용률,A,cls,AUROC,+medchem,0.7346,0.0239,5,results/progress.jsonl,-0.0041
caco2_wang,Caco-2 투과,A,reg,MAE,ecfp,0.3914,0.0498,5,results/progress.jsonl,
caco2_wang,Caco-2 투과,A,reg,MAE,+phys,0.2916,0.0067,5,results/progress.jsonl,0.0998
caco2_wang,Caco-2 투과,A,reg,MAE,+ion,0.2866,0.0103,5,results/progress.jsonl,0.005
caco2_wang,Caco-2 투과,A,reg,MAE,+3d,0.2965,0.0107,5,results/progress.jsonl,-0.0099
caco2_wang,Caco-2 투과,A,reg,MAE,+medchem,0.2948,0.0075,5,results/progress.jsonl,0.0017
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,ecfp,0.3693,0.0386,5,results/progress.jsonl,
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,+phys,0.4288,0.0514,5,results/progress.jsonl,0.0595
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,+ion,0.4097,0.0387,5,results/progress.jsonl,-0.0191
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,+3d,0.419,0.061,5,results/progress.jsonl,0.0093
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,+medchem,0.4181,0.0492,5,results/progress.jsonl,-0.0009
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,ecfp,0.4272,0.0257,5,results/progress.jsonl,
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,+phys,0.5436,0.0195,5,results/progress.jsonl,0.1164
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,+ion,0.5506,0.0098,5,results/progress.jsonl,0.007
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,+3d,0.5569,0.0211,5,results/progress.jsonl,0.0063
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,+medchem,0.5606,0.0208,5,results/progress.jsonl,0.0037
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,ecfp,0.5941,0.0155,5,results/progress.jsonl,
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,+phys,0.5858,0.0241,5,results/progress.jsonl,-0.0083
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,+ion,0.596,0.0202,5,results/progress.jsonl,0.0102
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,+3d,0.6152,0.012,5,results/progress.jsonl,0.0192
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,+medchem,0.6097,0.0046,5,results/progress.jsonl,-0.0055
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,ecfp,0.8718,0.0029,5,results/progress.jsonl,
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,+phys,0.8944,0.0014,5,results/progress.jsonl,0.0226
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,+ion,0.8953,0.0021,5,results/progress.jsonl,0.0009
