endpoint,label,pillar,task,metric,higher_better,gen,model,n_ok,value_all_seeds,sd_all_seeds,value_seed_matched,n_seed_matched,g4_status,leak_flag,source
caco2_wang,Caco-2 투과,A,reg,MAE,False,G2,xgb_physchem,5,0.3037,0.0083,0.3037,5,완주 (5/5),누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,False,G2,rf_physchem,5,0.3072,0.0028,0.3072,5,완주 (5/5),누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,False,G2,xgb_ecfp,5,0.3914,0.0498,0.3914,5,완주 (5/5),누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,False,G3,dmpnn_ours,5,0.3359,0.0302,0.3359,5,완주 (5/5),누수 0,results/progress.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,False,G4,unimol,5,0.3326,0.0089,0.3326,5,완주 (5/5),누수 0,results/finetune2_raw.jsonl
caco2_wang,Caco-2 투과,A,reg,MAE,False,G3,admetai,1,0.2177,0.0,,0,완주 (5/5),★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
hia_hou,HIA 흡수,A,cls,AUROC,True,G2,xgb_physchem,5,0.9751,0.0028,0.9751,5,완주 (5/5),누수 0,results/progress.jsonl
hia_hou,HIA 흡수,A,cls,AUROC,True,G2,rf_physchem,5,0.9722,0.0026,0.9722,5,완주 (5/5),누수 0,results/progress.jsonl
hia_hou,HIA 흡수,A,cls,AUROC,True,G2,xgb_ecfp,5,0.9465,0.0141,0.9465,5,완주 (5/5),누수 0,results/progress.jsonl
hia_hou,HIA 흡수,A,cls,AUROC,True,G3,dmpnn_ours,5,0.908,0.0209,0.908,5,완주 (5/5),누수 0,results/progress.jsonl
hia_hou,HIA 흡수,A,cls,AUROC,True,G4,unimol,5,0.9621,0.0162,0.9621,5,완주 (5/5),누수 0,results/finetune2_raw.jsonl
hia_hou,HIA 흡수,A,cls,AUROC,True,G3,admetai,1,0.9988,0.0,,0,완주 (5/5),★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,True,G2,xgb_physchem,5,0.7427,0.0111,0.7427,5,완주 (5/5),누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,True,G2,rf_physchem,5,0.7289,0.0117,0.7289,5,완주 (5/5),누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,True,G2,xgb_ecfp,5,0.695,0.022,0.695,5,완주 (5/5),누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,True,G3,dmpnn_ours,5,0.5326,0.0256,0.5326,5,완주 (5/5),누수 0,results/progress.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,True,G4,unimol,5,0.6814,0.0503,0.6814,5,완주 (5/5),누수 0,results/finetune2_raw.jsonl
bioavailability_ma,경구 생체이용률,A,cls,AUROC,True,G3,admetai,1,0.8407,0.0,,0,완주 (5/5),★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
pgp_broccatelli,P-gp 기질,A,cls,AUROC,True,G2,xgb_physchem,5,0.9097,0.0178,0.9097,5,완주 (5/5),누수 0,results/progress.jsonl
pgp_broccatelli,P-gp 기질,A,cls,AUROC,True,G2,rf_physchem,5,0.8983,0.0188,0.8983,5,완주 (5/5),누수 0,results/progress.jsonl
pgp_broccatelli,P-gp 기질,A,cls,AUROC,True,G2,xgb_ecfp,5,0.9065,0.0052,0.9065,5,완주 (5/5),누수 0,results/progress.jsonl
pgp_broccatelli,P-gp 기질,A,cls,AUROC,True,G3,dmpnn_ours,5,0.909,0.0109,0.909,5,완주 (5/5),누수 0,results/progress.jsonl
pgp_broccatelli,P-gp 기질,A,cls,AUROC,True,G4,unimol,5,0.8752,0.0193,0.8752,5,완주 (5/5),누수 0,results/finetune2_raw.jsonl
pgp_broccatelli,P-gp 기질,A,cls,AUROC,True,G3,admetai,1,0.9651,0.0,,0,완주 (5/5),★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
lipophilicity_astrazeneca,친유성 logD,A,reg,MAE,False,G2,xgb_physchem,5,0.5568,0.0042,0.5568,5,완주 (5/5),누수 0,results/progress.jsonl
lipophilicity_astrazeneca,친유성 logD,A,reg,MAE,False,G2,rf_physchem,5,0.6314,0.0034,0.6314,5,완주 (5/5),누수 0,results/progress.jsonl
