group,endpoint,label,metric,multitask,multitask_sd,n_seed,single_dmpnn,delta_multitask_minus_single
all_adme_cls,hia_hou,HIA 흡수,AUROC,0.975,0.0061,5,0.908,0.067
all_adme_cls,bioavailability_ma,경구 생체이용률,AUROC,0.7076,0.0304,5,0.5326,0.175
all_adme_cls,pgp_broccatelli,P-gp 기질,AUROC,0.8568,0.0171,5,0.909,-0.0522
all_adme_cls,bbb_martins,BBB 투과,AUROC,0.888,0.0126,5,0.8563,0.0317
all_adme_cls,cyp2c9_veith,CYP2C9 억제,AUROC,0.8744,0.0019,5,0.8777,-0.0033
all_adme_cls,cyp2d6_veith,CYP2D6 억제,AUROC,0.8729,0.0042,5,0.8619,0.011
all_adme_cls,cyp3a4_veith,CYP3A4 억제,AUROC,0.8773,0.0016,5,0.8856,-0.0083
all_adme_cls,cyp2c9_substrate_carbonmangels,CYP2C9 기질,AUROC,0.6182,0.0222,5,0.6245,-0.0063
all_adme_cls,cyp2d6_substrate_carbonmangels,CYP2D6 기질,AUROC,0.7648,0.0044,5,0.7658,-0.001
all_adme_cls,cyp3a4_substrate_carbonmangels,CYP3A4 기질,AUROC,0.5891,0.0296,5,0.5745,0.0146
cyp_inhibition,cyp2c9_veith,CYP2C9 억제,AUROC,0.8716,0.0033,5,0.8777,-0.0061
cyp_inhibition,cyp2d6_veith,CYP2D6 억제,AUROC,0.8727,0.0035,5,0.8619,0.0108
cyp_inhibition,cyp3a4_veith,CYP3A4 억제,AUROC,0.8822,0.0024,5,0.8856,-0.0034
cyp_substrate,cyp2c9_substrate_carbonmangels,CYP2C9 기질,AUROC,0.623,0.0213,5,0.6245,-0.0015
cyp_substrate,cyp2d6_substrate_carbonmangels,CYP2D6 기질,AUROC,0.7045,0.069,5,0.7658,-0.0613
cyp_substrate,cyp3a4_substrate_carbonmangels,CYP3A4 기질,AUROC,0.5652,0.0178,5,0.5745,-0.0093
