scope,endpoint,task,model,n_test,reported,reproduced,AD_in,AD_border,AD_ood,AD_perf_in,AD_perf_ood,AD_verdict,metric,value,ci_lo,ci_hi,ECE,sens_05,spec_05,NPV_05,FN_05,t_star,sens_star,FN_star,delong_vs_dmpnn_p,delong_vs_admetai_p,source,PI90_coverage
핵심 4종,dili,—,rf_physchem,96,0.9125,0.9125,0.6667,0.2812,0.0521,0.9844,,판정 불가(구간 표본 부족),AUROC,0.9196,0.8594,0.9652,0.1305,0.94,0.6957,0.9143,3.0,0.712,0.66,17.0,1.0,0.119,predictions/*.jsonl (재현 학습본),
핵심 4종,herg,—,rf_physchem,128,0.8369,0.8369,0.6953,0.2266,0.0781,0.7676,,판정 불가(구간 표본 부족),AUROC,0.8448,0.7547,0.9249,0.0697,0.9574,0.5,0.8095,4.0,0.604,0.9255,7.0,0.397,0.0815,predictions/*.jsonl (재현 학습본),
핵심 4종,ames,—,xgb_physchem,1453,0.8513,0.8513,0.4935,0.3393,0.1672,0.8806,0.7518,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.8607,0.8412,0.8798,0.0297,0.8383,0.7359,0.7552,140.0,0.534,0.8222,154.0,0.0569,1.81e-22,predictions/*.jsonl (재현 학습본),
핵심 4종,ld50_zhu,—,xgb_physchem,1466,0.6071,0.6071,0.3622,0.4311,0.2067,0.4845,0.7304,★AD 유효(OOD에서 실제로 성능 하락),MAE,0.5974,0.5661,0.6287,,,,,,,,,,,predictions/*.jsonl (재현 학습본),0.8431
확장,Carcinogens_Lagunin,Y,xgb_physchem,55,0.8366,0.8366,0.6909,0.2909,0.0182,0.8854,,판정 불가(구간 표본 부족),AUROC,0.8289,0.6995,0.9388,0.15,0.3,0.9556,0.86,7.0,0.675,0.3,7.0,0.161,,predictions/*.jsonl (재현 학습본),
확장,ClinTox,Y,xgb_physchem,292,0.8014,0.8014,0.6404,0.3048,0.0548,0.822,,판정 불가(구간 표본 부족),AUROC,0.7804,0.6813,0.8741,0.0487,0.1905,0.9852,0.9401,17.0,0.052,0.4286,12.0,0.0452,,predictions/*.jsonl (재현 학습본),
확장,Tox21,NR-AR,xgb_ecfp,1437,0.7499,0.7498,0.3953,0.4955,0.1093,0.8486,0.7749,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.7515,0.6745,0.8264,0.015,0.3,0.9935,0.9702,42.0,0.196,0.4,36.0,0.0382,0.00423,predictions/*.jsonl (재현 학습본),
확장,Tox21,NR-AR-LBD,xgb_physchem,1305,0.8101,0.8101,0.3931,0.4881,0.1188,0.895,0.6275,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.8123,0.7307,0.8833,0.0261,0.2353,0.9866,0.9797,26.0,0.5,0.2353,26.0,0.014,0.00144,predictions/*.jsonl (재현 학습본),
확장,Tox21,NR-AhR,xgb_physchem,1268,0.8692,0.8692,0.4022,0.4842,0.1136,0.911,0.7697,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.8726,0.8454,0.8974,0.072,0.3843,0.9827,0.8787,141.0,0.13,0.6201,87.0,3.11e-05,2.87e-12,predictions/*.jsonl (재현 학습본),
확장,Tox21,NR-Aromatase,xgb_physchem,1051,0.8027,0.8027,0.3625,0.5033,0.1342,0.7174,0.7366,★AD가 신뢰도를 예측하지 못함(OOD에서 성능이 떨어지지 않음),AUROC,0.8075,0.7603,0.8507,0.065,0.0842,0.9948,0.9162,87.0,0.248,0.1579,80.0,0.000275,2.45e-10,predictions/*.jsonl (재현 학습본),
확장,Tox21,NR-ER,xgb_physchem,1152,0.7531,0.7531,0.3915,0.4809,0.1276,0.8294,0.6091,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.7558,0.7146,0.7961,0.0676,0.2764,0.9759,0.8659,144.0,0.774,0.201,159.0,0.00891,9.48e-06,predictions/*.jsonl (재현 학습본),
확장,Tox21,NR-ER-LBD,xgb_physchem,1335,0.8414,0.8414,0.3933,0.4831,0.1236,0.9141,0.6505,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.8446,0.7939,0.8898,0.0384,0.3077,0.9944,0.9515,63.0,0.112,0.4176,53.0,0.146,0.00013,predictions/*.jsonl (재현 학습본),
확장,Tox21,NR-PPAR-gamma,rf_physchem,1209,0.8362,0.8362,0.3838,0.4789,0.1373,0.7993,0.8279,★AD가 신뢰도를 예측하지 못함(OOD에서 성능이 떨어지지 않음),AUROC,0.839,0.7661,0.8987,0.0164,0.0,1.0,0.962,46.0,0.157,0.3043,32.0,0.00801,4.2e-05,predictions/*.jsonl (재현 학습본),
확장,Tox21,SR-ARE,xgb_physchem,1056,0.7949,0.7949,0.3712,0.5057,0.1231,0.8139,0.7111,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.8,0.7675,0.8301,0.0728,0.2318,0.9593,0.826,169.0,0.17,0.65,77.0,7.76e-05,1.17e-08,predictions/*.jsonl (재현 학습본),
확장,Tox21,SR-ATAD5,xgb_physchem,1372,0.7598,0.7598,0.3907,0.4825,0.1268,0.8424,0.638,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.7628,0.6864,0.8327,0.0335,0.0984,0.9916,0.9594,55.0,0.161,0.2295,47.0,0.951,7.03e-06,predictions/*.jsonl (재현 학습본),
확장,Tox21,SR-HSE,xgb_physchem,1213,0.8028,0.8029,0.3941,0.4946,0.1113,0.8992,0.7254,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.8085,0.7514,0.8584,0.0434,0.1667,0.9965,0.9414,70.0,0.428,0.1905,68.0,0.125,3.45e-07,predictions/*.jsonl (재현 학습본),
확장,Tox21,SR-MMP,xgb_physchem,1052,0.9041,0.9041,0.3964,0.4762,0.1274,0.9137,0.8958,★AD가 신뢰도를 예측하지 못함(OOD에서 성능이 떨어지지 않음),AUROC,0.9063,0.8845,0.9256,0.0599,0.5858,0.949,0.8702,111.0,0.251,0.7127,77.0,2.27e-09,1.26e-10,predictions/*.jsonl (재현 학습본),
확장,Tox21,SR-p53,xgb_physchem,1294,0.819,0.819,0.3972,0.483,0.1198,0.8362,0.7945,★AD 유효(OOD에서 실제로 성능 하락),AUROC,0.8223,0.786,0.8566,0.0633,0.0833,0.9889,0.9135,110.0,0.089,0.45,66.0,0.0119,3.63e-07,predictions/*.jsonl (재현 학습본),
