endpoint,task,alert,n_eval,n_fired,fire_rate,precision,base_rate,lift
Carcinogens_Lagunin,Y,nitroaromatic,56,0,0.0,,0.1964,
Carcinogens_Lagunin,Y,aromatic_amine,56,4,0.0714,0.5,0.1964,2.545
Carcinogens_Lagunin,Y,three_membered_NO,56,2,0.0357,0.0,0.1964,0.0
Carcinogens_Lagunin,Y,N_nitroso,56,0,0.0,,0.1964,
Carcinogens_Lagunin,Y,azo,56,5,0.0893,0.8,0.1964,4.073
Carcinogens_Lagunin,Y,aldehyde,56,0,0.0,,0.1964,
Carcinogens_Lagunin,Y,michael_acceptor,56,5,0.0893,0.0,0.1964,0.0
Carcinogens_Lagunin,Y,alkyl_halide,56,2,0.0357,0.5,0.1964,2.545
Carcinogens_Lagunin,Y,aromatic_nitroso,56,0,0.0,,0.1964,
Carcinogens_Lagunin,Y,hydrazine,56,0,0.0,,0.1964,
Carcinogens_Lagunin,Y,★변이원 알림 ≥1(순수규칙),56,17,0.3036,0.4118,0.1964,2.096
Carcinogens_Lagunin,Y,BRENK/NIH 알림 ≥1,56,31,0.5536,0.3548,0.1964,1.806
Carcinogens_Lagunin,Y,★전체 알림 ≥1,56,31,0.5536,0.3548,0.1964,1.806
ClinTox,Y,nitroaromatic,297,10,0.0337,0.0,0.0808,0.0
ClinTox,Y,aromatic_amine,297,51,0.1717,0.1569,0.0808,1.941
ClinTox,Y,three_membered_NO,297,5,0.0168,0.0,0.0808,0.0
ClinTox,Y,N_nitroso,297,1,0.0034,0.0,0.0808,0.0
ClinTox,Y,azo,297,1,0.0034,0.0,0.0808,0.0
ClinTox,Y,aldehyde,297,0,0.0,,0.0808,
ClinTox,Y,michael_acceptor,297,38,0.1279,0.0263,0.0808,0.326
ClinTox,Y,alkyl_halide,297,7,0.0236,0.2857,0.0808,3.536
ClinTox,Y,aromatic_nitroso,297,0,0.0,,0.0808,
ClinTox,Y,hydrazine,297,2,0.0067,0.5,0.0808,6.187
ClinTox,Y,★변이원 알림 ≥1(순수규칙),297,104,0.3502,0.1154,0.0808,1.428
ClinTox,Y,BRENK/NIH 알림 ≥1,297,165,0.5556,0.0727,0.0808,0.9
ClinTox,Y,★전체 알림 ≥1,297,202,0.6801,0.0842,0.0808,1.041
Tox21,NR-AR,nitroaromatic,1437,55,0.0383,0.0,0.0418,0.0
Tox21,NR-AR,aromatic_amine,1437,172,0.1197,0.0407,0.0418,0.975
Tox21,NR-AR,three_membered_NO,1437,38,0.0264,0.0,0.0418,0.0
Tox21,NR-AR,N_nitroso,1437,1,0.0007,0.0,0.0418,0.0
Tox21,NR-AR,azo,1437,17,0.0118,0.0,0.0418,0.0
Tox21,NR-AR,aldehyde,1437,11,0.0077,0.0,0.0418,0.0
Tox21,NR-AR,michael_acceptor,1437,110,0.0765,0.1182,0.0418,2.83
Tox21,NR-AR,alkyl_halide,1437,39,0.0271,0.0256,0.0418,0.614
Tox21,NR-AR,aromatic_nitroso,1437,1,0.0007,0.0,0.0418,0.0
Tox21,NR-AR,hydrazine,1437,9,0.0063,0.0,0.0418,0.0
Tox21,NR-AR,★변이원 알림 ≥1(순수규칙),1437,407,0.2832,0.0491,0.0418,1.177
Tox21,NR-AR,BRENK/NIH 알림 ≥1,1437,751,0.5226,0.036,0.0418,0.861
Tox21,NR-AR,★전체 알림 ≥1,1437,851,0.5922,0.0458,0.0418,1.098
Tox21,NR-AR-LBD,nitroaromatic,1305,43,0.033,0.0,0.0261,0.0
Tox21,NR-AR-LBD,aromatic_amine,1305,162,0.1241,0.037,0.0261,1.422
Tox21,NR-AR-LBD,three_membered_NO,1305,37,0.0284,0.0,0.0261,0.0
Tox21,NR-AR-LBD,N_nitroso,1305,1,0.0008,0.0,0.0261,0.0
Tox21,NR-AR-LBD,azo,1305,17,0.013,0.0,0.0261,0.0
Tox21,NR-AR-LBD,aldehyde,1305,9,0.0069,0.0,0.0261,0.0
Tox21,NR-AR-LBD,michael_acceptor,1305,96,0.0736,0.0729,0.0261,2.799
Tox21,NR-AR-LBD,alkyl_halide,1305,36,0.0276,0.0,0.0261,0.0
Tox21,NR-AR-LBD,aromatic_nitroso,1305,1,0.0008,0.0,0.0261,0.0
Tox21,NR-AR-LBD,hydrazine,1305,8,0.0061,0.0,0.0261,0.0
Tox21,NR-AR-LBD,★변이원 알림 ≥1(순수규칙),1305,372,0.2851,0.0349,0.0261,1.341
Tox21,NR-AR-LBD,BRENK/NIH 알림 ≥1,1305,675,0.5172,0.0311,0.0261,1.194
Tox21,NR-AR-LBD,★전체 알림 ≥1,1305,770,0.59,0.0325,0.0261,1.246
Tox21,NR-AhR,nitroaromatic,1268,42,0.0331,0.3333,0.1806,1.846
Tox21,NR-AhR,aromatic_amine,1268,152,0.1199,0.3553,0.1806,1.967
Tox21,NR-AhR,three_membered_NO,1268,39,0.0308,0.0,0.1806,0.0
Tox21,NR-AhR,N_nitroso,1268,1,0.0008,0.0,0.1806,0.0
Tox21,NR-AhR,azo,1268,15,0.0118,0.4667,0.1806,2.584
Tox21,NR-AhR,aldehyde,1268,11,0.0087,0.0,0.1806,0.0
Tox21,NR-AhR,michael_acceptor,1268,97,0.0765,0.0928,0.1806,0.514
Tox21,NR-AhR,alkyl_halide,1268,37,0.0292,0.0,0.1806,0.0
Tox21,NR-AhR,aromatic_nitroso,1268,1,0.0008,1.0,0.1806,5.537
Tox21,NR-AhR,hydrazine,1268,6,0.0047,0.1667,0.1806,0.923
Tox21,NR-AhR,★변이원 알림 ≥1(순수규칙),1268,363,0.2863,0.2094,0.1806,1.159
Tox21,NR-AhR,BRENK/NIH 알림 ≥1,1268,668,0.5268,0.1647,0.1806,0.912
