endpoint,task,n_eval,pos_rate,fire_rate,nomatch_rate,fire_rate_all,rule_precision,rule_recall,rule_MCC
Carcinogens_Lagunin,Y,56,0.1964,0.3036,0.6964,0.5536,0.4118,0.6364,0.3578
ClinTox,Y,297,0.0808,0.3502,0.6498,0.6801,0.1154,0.5,0.0931
Tox21,NR-AR,1437,0.0418,0.2832,0.7168,0.5922,0.0491,0.3333,0.0232
Tox21,NR-AR-LBD,1305,0.0261,0.2851,0.7149,0.59,0.0349,0.3824,0.0352
Tox21,NR-AhR,1268,0.1806,0.2863,0.7137,0.5962,0.2094,0.3319,0.0474
Tox21,NR-Aromatase,1051,0.0904,0.275,0.725,0.5994,0.09,0.2737,-0.0009
Tox21,NR-ER,1152,0.1727,0.2856,0.7144,0.5859,0.1641,0.2714,-0.0144
Tox21,NR-ER-LBD,1335,0.0682,0.2891,0.7109,0.5888,0.057,0.2418,-0.0283
Tox21,NR-PPAR-gamma,1209,0.038,0.2878,0.7122,0.5964,0.0402,0.3043,0.0073
Tox21,SR-ARE,1056,0.2083,0.2794,0.7206,0.5795,0.2407,0.3227,0.0496
Tox21,SR-ATAD5,1372,0.0445,0.2806,0.7194,0.5831,0.0468,0.2951,0.0069
Tox21,SR-HSE,1213,0.0692,0.2803,0.7197,0.5697,0.0618,0.25,-0.0184
Tox21,SR-MMP,1052,0.2548,0.289,0.711,0.6065,0.2763,0.3134,0.0315
Tox21,SR-p53,1294,0.0927,0.2836,0.7164,0.5889,0.0954,0.2917,0.0057
