endpoint,label,metric,higher_better,gen,gen_label,method,value,sd,n_seed,split,n_test,leak_flag,metric_form,source,note
dili,DILI 간독성,AUROC,True,G1,규칙,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),,,,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 없음(학습 없음·규칙),★다름(발화율·정밀도·MCC),results/g1_summary.csv (규칙 정의 = T_toxicity/surface/src/featurize.py),발화율 0.354·무매치율 0.646·규칙 정밀도 0.765/재현율 0.520/MCC 0.361
dili,DILI 간독성,AUROC,True,G2,고전 ML,물리화학 서술자 + XGBoost,0.9062,0.0207,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
dili,DILI 간독성,AUROC,True,G2,고전 ML,물리화학 서술자 + RandomForest,0.9125,0.0093,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
dili,DILI 간독성,AUROC,True,G2,고전 ML,ECFP4 지문 + XGBoost,0.8501,0.0235,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
dili,DILI 간독성,AUROC,True,G4,구조·3D,"Uni-Mol (3D conformer, 2억 사전학습)",0.8705,0.0134,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_finetune2/results/finetune2.csv,
dili,DILI 간독성,AUROC,True,G5,파운데이션,"ChemBERTa-2 (SMILES transformer, fine-tune)",0.8406,0.0327,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
dili,DILI 간독성,AUROC,True,G5,파운데이션,"MoLFormer (SMILES transformer, fine-tune)",0.881,0.0077,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
dili,DILI 간독성,AUROC,True,G3,분자 딥러닝,chemprop D-MPNN (우리 자체 학습·정직),0.9039,0.0119,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·train만 학습),동일,experiment_g3_dmpnn_seed42/results/dmpnn_metrics.json,ADMET-AI와 같은 D-MPNN 계열을 train만 보고 학습 → 누수 없는 G3
dili,DILI 간독성,AUROC,True,G3,분자 딥러닝,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",0.9557,,1.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,★누수 의심 (TDC 전체 사전학습),동일,experiment_tox_benchmark/results/admetai_metrics.json (오늘 재추론으로 Δ0.0000 재현),누수 보정 불가 — 사유는 matrix_meta.json 참조
dili,DILI 간독성,AUROC,True,참고,리더보드,TDC SOTA — MiniMol,0.956,,,TDC 공식 scaffold split (seed=42) · 5 seed,96,—(외부 인용),동일,experiment_tox_benchmark/results/benchmark.csv,★미재현 — 리더보드 인용값
dili,DILI 간독성,AUPRC,True,G1,규칙,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),,,,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 없음(학습 없음·규칙),★다름(발화율·정밀도·MCC),results/g1_summary.csv (규칙 정의 = T_toxicity/surface/src/featurize.py),발화율 0.354·무매치율 0.646·규칙 정밀도 0.765/재현율 0.520/MCC 0.361
dili,DILI 간독성,AUPRC,True,G2,고전 ML,물리화학 서술자 + XGBoost,0.8981,0.0278,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
dili,DILI 간독성,AUPRC,True,G2,고전 ML,물리화학 서술자 + RandomForest,0.9122,0.0132,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
dili,DILI 간독성,AUPRC,True,G2,고전 ML,ECFP4 지문 + XGBoost,0.8354,0.029,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
dili,DILI 간독성,AUPRC,True,G4,구조·3D,"Uni-Mol (3D conformer, 2억 사전학습)",0.834,0.0151,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_finetune2/results/finetune2.csv,
dili,DILI 간독성,AUPRC,True,G5,파운데이션,"ChemBERTa-2 (SMILES transformer, fine-tune)",0.8392,0.0389,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
dili,DILI 간독성,AUPRC,True,G5,파운데이션,"MoLFormer (SMILES transformer, fine-tune)",0.8908,0.0075,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
dili,DILI 간독성,AUPRC,True,G3,분자 딥러닝,chemprop D-MPNN (우리 자체 학습·정직),0.8825,0.0182,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,누수 0(실측·train만 학습),동일,experiment_g3_dmpnn_seed42/results/dmpnn_metrics.json,ADMET-AI와 같은 D-MPNN 계열을 train만 보고 학습 → 누수 없는 G3
dili,DILI 간독성,AUPRC,True,G3,분자 딥러닝,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",0.9648,,1.0,TDC 공식 scaffold split (seed=42) · 5 seed,96,★누수 의심 (TDC 전체 사전학습),동일,experiment_tox_benchmark/results/admetai_metrics.json (오늘 재추론으로 Δ0.0000 재현),누수 보정 불가 — 사유는 matrix_meta.json 참조
herg,hERG 차단,AUROC,True,G1,규칙,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),,,,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 없음(학습 없음·규칙),★다름(발화율·정밀도·MCC),results/g1_summary.csv (규칙 정의 = T_toxicity/surface/src/featurize.py),발화율 0.182·무매치율 0.818·규칙 정밀도 0.708/재현율 0.175/MCC -0.028
herg,hERG 차단,AUROC,True,G2,고전 ML,물리화학 서술자 + XGBoost,0.8219,0.0151,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
herg,hERG 차단,AUROC,True,G2,고전 ML,물리화학 서술자 + RandomForest,0.8369,0.0052,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
herg,hERG 차단,AUROC,True,G2,고전 ML,ECFP4 지문 + XGBoost,0.7349,0.0123,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
herg,hERG 차단,AUROC,True,G4,구조·3D,"Uni-Mol (3D conformer, 2억 사전학습)",0.8047,0.0261,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_finetune2/results/finetune2.csv,
herg,hERG 차단,AUROC,True,G5,파운데이션,"ChemBERTa-2 (SMILES transformer, fine-tune)",0.7388,0.0205,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
herg,hERG 차단,AUROC,True,G5,파운데이션,"MoLFormer (SMILES transformer, fine-tune)",0.8169,0.0121,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
herg,hERG 차단,AUROC,True,G3,분자 딥러닝,chemprop D-MPNN (우리 자체 학습·정직),0.7972,0.0101,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·train만 학습),동일,experiment_g3_dmpnn_seed42/results/dmpnn_metrics.json,ADMET-AI와 같은 D-MPNN 계열을 train만 보고 학습 → 누수 없는 G3
herg,hERG 차단,AUROC,True,G3,분자 딥러닝,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",0.9113,,1.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,★누수 의심 (TDC 전체 사전학습),동일,experiment_tox_benchmark/results/admetai_metrics.json (오늘 재추론으로 Δ0.0000 재현),누수 보정 불가 — 사유는 matrix_meta.json 참조
herg,hERG 차단,AUROC,True,참고,리더보드,TDC SOTA — MapLight+GNN,0.88,,,TDC 공식 scaffold split (seed=42) · 5 seed,132,—(외부 인용),동일,experiment_tox_benchmark/results/benchmark.csv,★미재현 — 리더보드 인용값
herg,hERG 차단,AUPRC,True,G1,규칙,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),,,,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 없음(학습 없음·규칙),★다름(발화율·정밀도·MCC),results/g1_summary.csv (규칙 정의 = T_toxicity/surface/src/featurize.py),발화율 0.182·무매치율 0.818·규칙 정밀도 0.708/재현율 0.175/MCC -0.028
herg,hERG 차단,AUPRC,True,G2,고전 ML,물리화학 서술자 + XGBoost,0.9116,0.0116,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
herg,hERG 차단,AUPRC,True,G2,고전 ML,물리화학 서술자 + RandomForest,0.9074,0.0072,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
herg,hERG 차단,AUPRC,True,G2,고전 ML,ECFP4 지문 + XGBoost,0.8528,0.0076,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
herg,hERG 차단,AUPRC,True,G4,구조·3D,"Uni-Mol (3D conformer, 2억 사전학습)",0.909,0.0217,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_finetune2/results/finetune2.csv,
herg,hERG 차단,AUPRC,True,G5,파운데이션,"ChemBERTa-2 (SMILES transformer, fine-tune)",0.8515,0.0198,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
herg,hERG 차단,AUPRC,True,G5,파운데이션,"MoLFormer (SMILES transformer, fine-tune)",0.9112,0.0103,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
herg,hERG 차단,AUPRC,True,G3,분자 딥러닝,chemprop D-MPNN (우리 자체 학습·정직),0.9112,0.0063,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,누수 0(실측·train만 학습),동일,experiment_g3_dmpnn_seed42/results/dmpnn_metrics.json,ADMET-AI와 같은 D-MPNN 계열을 train만 보고 학습 → 누수 없는 G3
herg,hERG 차단,AUPRC,True,G3,분자 딥러닝,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",0.957,,1.0,TDC 공식 scaffold split (seed=42) · 5 seed,132,★누수 의심 (TDC 전체 사전학습),동일,experiment_tox_benchmark/results/admetai_metrics.json (오늘 재추론으로 Δ0.0000 재현),누수 보정 불가 — 사유는 matrix_meta.json 참조
ames,AMES 변이원성,AUROC,True,G1,규칙,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),,,,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 없음(학습 없음·규칙),★다름(발화율·정밀도·MCC),results/g1_summary.csv (규칙 정의 = T_toxicity/surface/src/featurize.py),발화율 0.528·무매치율 0.472·규칙 정밀도 0.718/재현율 0.634/MCC 0.260
ames,AMES 변이원성,AUROC,True,G2,고전 ML,물리화학 서술자 + XGBoost,0.8513,0.0059,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
ames,AMES 변이원성,AUROC,True,G2,고전 ML,물리화학 서술자 + RandomForest,0.8422,0.0049,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
ames,AMES 변이원성,AUROC,True,G2,고전 ML,ECFP4 지문 + XGBoost,0.8258,0.0024,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
ames,AMES 변이원성,AUROC,True,G4,구조·3D,"Uni-Mol (3D conformer, 2억 사전학습)",0.8228,0.0029,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_finetune2/results/finetune2.csv,
ames,AMES 변이원성,AUROC,True,G5,파운데이션,"ChemBERTa-2 (SMILES transformer, fine-tune)",0.8022,0.0212,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
ames,AMES 변이원성,AUROC,True,G5,파운데이션,"MoLFormer (SMILES transformer, fine-tune)",0.8352,0.0083,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
ames,AMES 변이원성,AUROC,True,G3,분자 딥러닝,chemprop D-MPNN (우리 자체 학습·정직),0.8333,0.0089,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·train만 학습),동일,experiment_g3_dmpnn_seed42/results/dmpnn_metrics.json,ADMET-AI와 같은 D-MPNN 계열을 train만 보고 학습 → 누수 없는 G3
ames,AMES 변이원성,AUROC,True,G3,분자 딥러닝,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",0.9303,,1.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,★누수 의심 (TDC 전체 사전학습),동일,experiment_tox_benchmark/results/admetai_metrics.json (오늘 재추론으로 Δ0.0000 재현),누수 보정 불가 — 사유는 matrix_meta.json 참조
ames,AMES 변이원성,AUROC,True,참고,리더보드,TDC SOTA — ZairaChem,0.871,,,TDC 공식 scaffold split (seed=42) · 5 seed,1457,—(외부 인용),동일,experiment_tox_benchmark/results/benchmark.csv,★미재현 — 리더보드 인용값
ames,AMES 변이원성,AUPRC,True,G1,규칙,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),,,,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 없음(학습 없음·규칙),★다름(발화율·정밀도·MCC),results/g1_summary.csv (규칙 정의 = T_toxicity/surface/src/featurize.py),발화율 0.528·무매치율 0.472·규칙 정밀도 0.718/재현율 0.634/MCC 0.260
ames,AMES 변이원성,AUPRC,True,G2,고전 ML,물리화학 서술자 + XGBoost,0.8846,0.0074,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
ames,AMES 변이원성,AUPRC,True,G2,고전 ML,물리화학 서술자 + RandomForest,0.877,0.0045,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
ames,AMES 변이원성,AUPRC,True,G2,고전 ML,ECFP4 지문 + XGBoost,0.8744,0.0033,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
ames,AMES 변이원성,AUPRC,True,G4,구조·3D,"Uni-Mol (3D conformer, 2억 사전학습)",0.863,0.0036,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_finetune2/results/finetune2.csv,
ames,AMES 변이원성,AUPRC,True,G5,파운데이션,"ChemBERTa-2 (SMILES transformer, fine-tune)",0.8477,0.0173,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
ames,AMES 변이원성,AUPRC,True,G5,파운데이션,"MoLFormer (SMILES transformer, fine-tune)",0.8721,0.009,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
ames,AMES 변이원성,AUPRC,True,G3,분자 딥러닝,chemprop D-MPNN (우리 자체 학습·정직),0.8601,0.0115,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,누수 0(실측·train만 학습),동일,experiment_g3_dmpnn_seed42/results/dmpnn_metrics.json,ADMET-AI와 같은 D-MPNN 계열을 train만 보고 학습 → 누수 없는 G3
ames,AMES 변이원성,AUPRC,True,G3,분자 딥러닝,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",0.951,,1.0,TDC 공식 scaffold split (seed=42) · 5 seed,1457,★누수 의심 (TDC 전체 사전학습),동일,experiment_tox_benchmark/results/admetai_metrics.json (오늘 재추론으로 Δ0.0000 재현),누수 보정 불가 — 사유는 matrix_meta.json 참조
ld50_zhu,LD50 급성독성,MAE,False,G1,규칙,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),,,,TDC 공식 scaffold split (seed=42) · 5 seed,1478,누수 없음(학습 없음·규칙),★다름(발화율·정밀도·MCC),results/g1_summary.csv (규칙 정의 = T_toxicity/surface/src/featurize.py),발화율 0.294·무매치율 0.706·발화군 LD50 차 -0.243
ld50_zhu,LD50 급성독성,MAE,False,G2,고전 ML,물리화학 서술자 + XGBoost,0.6071,0.007,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1478,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
ld50_zhu,LD50 급성독성,MAE,False,G2,고전 ML,물리화학 서술자 + RandomForest,0.621,0.012,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1478,누수 0(실측·exact overlap 0),동일,experiment_physchem/results/physchem.csv,
ld50_zhu,LD50 급성독성,MAE,False,G2,고전 ML,ECFP4 지문 + XGBoost,0.6406,0.0086,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1478,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
ld50_zhu,LD50 급성독성,MAE,False,G4,구조·3D,"Uni-Mol (3D conformer, 2억 사전학습)",0.5939,0.0185,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1478,누수 0(실측·exact overlap 0),동일,experiment_finetune2/results/finetune2.csv,
ld50_zhu,LD50 급성독성,MAE,False,G5,파운데이션,"ChemBERTa-2 (SMILES transformer, fine-tune)",0.7012,0.0057,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1478,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
ld50_zhu,LD50 급성독성,MAE,False,G5,파운데이션,"MoLFormer (SMILES transformer, fine-tune)",0.6412,0.0087,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1478,누수 0(실측·exact overlap 0),동일,experiment_finetune/results/finetune.csv,
ld50_zhu,LD50 급성독성,MAE,False,G3,분자 딥러닝,chemprop D-MPNN (우리 자체 학습·정직),0.6398,0.0212,5.0,TDC 공식 scaffold split (seed=42) · 5 seed,1478,누수 0(실측·train만 학습),동일,experiment_g3_dmpnn_seed42/results/dmpnn_metrics.json,ADMET-AI와 같은 D-MPNN 계열을 train만 보고 학습 → 누수 없는 G3
ld50_zhu,LD50 급성독성,MAE,False,G3,분자 딥러닝,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",0.3361,,1.0,TDC 공식 scaffold split (seed=42) · 5 seed,1478,★누수 의심 (TDC 전체 사전학습),동일,experiment_tox_benchmark/results/admetai_metrics.json (오늘 재추론으로 Δ0.0000 재현),누수 보정 불가 — 사유는 matrix_meta.json 참조
ld50_zhu,LD50 급성독성,MAE,False,참고,리더보드,TDC SOTA — BaseBoosting,0.552,,,TDC 공식 scaffold split (seed=42) · 5 seed,1478,—(외부 인용),동일,experiment_tox_benchmark/results/benchmark.csv,★미재현 — 리더보드 인용값
