endpoint,label,pillar,task,metric,direction,champion,n_test,AD_in,AD_border,AD_ood,AD_verdict,value,ci_lo,ci_hi,ci_method,source,PI90_halfwidth,PI90_coverage,residual_sd,bias_slope,t_star,sens_05,sens_star,FN_05,FN_star,NPV_star,pos_rate,ECE,delong_p
caco2_wang,Caco-2 투과,A,reg,MAE,↓,xgb_physchem,181,0.453,0.2652,0.2818,★AD가 성능을 예측 못함,0.3034,0.2725,0.3351,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),0.735,0.9724,0.3514,-0.0017,,,,,,,,,
hia_hou,HIA 흡수,A,cls,AUROC,↑,xgb_physchem,117,0.6239,0.2051,0.1709,★AD가 성능을 예측 못함,0.9751,0.9407,0.9984,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.532,0.9889,0.9889,1.0,1.0,0.9565,0.7692,0.0469,0.139
bioavailability_ma,경구 생체이용률,A,cls,AUROC,↑,xgb_physchem,128,0.8125,0.1562,0.0312,판정 불가(OOD 표본<20),0.743,0.6443,0.8328,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.984,0.8866,0.433,11.0,55.0,0.3452,0.7578,0.1665,0.000217
pgp_broccatelli,P-gp 기질,A,cls,AUROC,↑,xgb_physchem,245,0.5755,0.2694,0.1551,AD 유효(OOD서 성능 하락),0.9096,0.872,0.9425,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.676,0.7177,0.6452,35.0,44.0,0.7197,0.5061,0.1189,0.625
solubility_aqsoldb,수용해도,A,reg,MAE,↓,xgb_physchem,1995,0.415,0.4401,0.1449,AD 유효(OOD서 성능 하락),0.7645,0.7329,0.797,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),1.9875,0.9414,1.0233,0.0468,,,,,,,,,
bbb_martins,BBB 투과,D,cls,AUROC,↑,rf_physchem,394,0.4442,0.3325,0.2234,★AD가 성능을 예측 못함,0.9062,0.8645,0.9409,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.737,0.9495,0.7603,16.0,76.0,0.4865,0.8046,0.0967,0.0142
ppbr_az,혈장단백결합,D,reg,MAE,↓,xgb_physchem,343,0.4461,0.4344,0.1195,AD 유효(OOD서 성능 하락),8.1147,7.3925,8.8509,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),25.0198,0.9621,10.7197,0.0236,,,,,,,,,
vdss_lombardo,분포용적 VDss,D,reg,Spearman,↑,rf_physchem,221,0.5249,0.3122,0.1629,AD 유효(OOD서 성능 하락),0.5744,0.4703,0.6677,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),7.8947,0.8959,18.5463,-0.9693,,,,,,,,,
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,↑,xgb_physchem,2419,0.5986,0.2815,0.1199,AD 유효(OOD서 성능 하락),0.8878,0.8741,0.9011,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.358,0.6844,0.7818,243.0,168.0,0.8923,0.3183,0.0344,0.0702
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,↑,xgb_physchem,2626,0.5526,0.289,0.1584,AD 유효(OOD서 성능 하락),0.8676,0.8467,0.8873,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.284,0.4605,0.6117,239.0,172.0,0.9221,0.1687,0.0306,0.579
cyp3a4_veith,CYP3A4 억제,M,cls,AUROC,↑,xgb_physchem,2467,0.6956,0.2452,0.0592,AD 유효(OOD서 성능 하락),0.884,0.871,0.8964,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.401,0.7976,0.8521,219.0,160.0,0.8666,0.4386,0.0184,0.266
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,↑,rf_physchem,135,0.7481,0.1926,0.0593,판정 불가(OOD 표본<20),0.6219,0.5151,0.7229,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.259,0.0263,0.4474,37.0,21.0,0.7717,0.2815,0.0898,0.934
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,↑,xgb_physchem,134,0.7164,0.2687,0.0149,판정 불가(OOD 표본<20),0.8195,0.7416,0.8887,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.069,0.3721,0.8605,27.0,6.0,0.9077,0.3209,0.1432,0.12
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,↑,rf_physchem,134,0.8284,0.1418,0.0299,판정 불가(OOD 표본<20),0.6562,0.5604,0.7489,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),,,,,0.556,0.7821,0.641,17.0,28.0,0.5333,0.5821,0.0761,0.00687
half_life_obach,반감기,E,reg,Spearman,↑,rf_physchem,134,0.7313,0.2164,0.0522,판정 불가(OOD 표본<20),0.3119,0.1428,0.4733,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),84.41,0.9552,32.1377,-0.7637,,,,,,,,,
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,↑,rf_physchem,203,0.468,0.399,0.133,AD 유효(OOD서 성능 하락),0.4202,0.3097,0.5229,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),78.9454,0.9015,44.1461,0.0329,,,,,,,,,
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,↑,xgb_physchem,221,0.7873,0.1855,0.0271,판정 불가(OOD 표본<20),0.5486,0.4521,0.6391,seed별 부트스트랩 후 종합(★주 판정·학습변동 포함),predictions/*.jsonl(재현·추론만),70.115,0.905,37.7269,-0.1448,,,,,,,,,
