domain,endpoint,metric,gen,v1,sd1,v2,gap,label,n_total,rel_gnn,ratio
독성,AMES 변이원성,AUROC,G2,0.8513,0.0059,0.8422,0.009099999999999997,,,,1.5423728813559316
독성,ClinTox 임상독성,AUROC,G2,0.8014,0.0049,0.7775,0.023900000000000032,,,,4.87755102040817
독성,DILI 간독성,AUROC,G2,0.9125,0.0093,0.9062,0.006299999999999972,,,,0.6774193548387067
독성,LD50 급성독성,MAE,G4,0.5939,0.0185,0.6071,0.01319999999999999,,,,0.713513513513513
독성,Tox21__NR-AR,AUROC,G2,0.7499,0.0059,0.7285,0.021399999999999975,,,,3.6271186440677923
독성,Tox21__NR-AR-LBD,AUROC,G2,0.8101,0.0077,0.7767,0.033400000000000096,,,,4.33766233766235
독성,Tox21__NR-AhR,AUROC,G2,0.8692,0.0034,0.8681,0.0010999999999999899,,,,0.3235294117647029
독성,Tox21__NR-Aromatase,AUROC,G2,0.8027,0.0095,0.7508,0.051899999999999946,,,,5.463157894736836
독성,Tox21__NR-ER,AUROC,G2,0.7531,0.0044,0.7525,0.0006000000000000449,,,,0.13636363636364657
독성,Tox21__NR-ER-LBD,AUROC,G2,0.8414,0.002,0.8234,0.018000000000000016,,,,9.000000000000007
독성,Tox21__NR-PPAR-gamma,AUROC,G2,0.8362,0.0078,0.8057,0.030500000000000083,,,,3.9102564102564212
독성,Tox21__SR-ARE,AUROC,G2,0.7949,0.0048,0.7777,0.017200000000000104,,,,3.5833333333333552
독성,Tox21__SR-ATAD5,AUROC,G2,0.7598,0.0043,0.7597,9.999999999998899e-05,,,,0.02325581395348581
독성,Tox21__SR-HSE,AUROC,G2,0.8028,0.0074,0.8023,0.0004999999999999449,,,,0.06756756756756012
독성,Tox21__SR-MMP,AUROC,G2,0.9041,0.0014,0.8912,0.012900000000000023,,,,9.214285714285731
독성,Tox21__SR-p53,AUROC,G2,0.819,0.005,0.7938,0.0252,,,,5.04
독성,hERG 차단,AUROC,G2,0.8369,0.0052,0.8219,0.015000000000000013,,,,2.8846153846153872
독성,발암성 (Carcinogens),AUROC,G2,0.8366,0.0143,0.8139,0.022700000000000053,,,,1.587412587412591
ADME,bbb_martins,AUROC,G2,0.9059,0.0055,0.8993,0.00660000000000005,BBB 투과,1970.0,-5.475218015233478,1.2000000000000093
ADME,bioavailability_ma,AUROC,G2,0.7427,0.0111,0.7289,0.013800000000000034,경구 생체이용률,640.0,-28.288676450787676,1.2432432432432463
ADME,caco2_wang,MAE,G2,0.3037,0.0083,0.3072,0.0034999999999999476,Caco-2 투과,905.0,-10.602568324003935,0.4216867469879455
ADME,clearance_hepatocyte_az,Spearman,G4,0.4244,0.0514,0.4219,0.0025000000000000022,간세포 청소율,1015.0,-21.521687603697558,0.04863813229571989
ADME,clearance_microsome_az,Spearman,G4,0.5765,0.0176,0.5629,0.013600000000000056,마이크로솜 청소율,1105.0,2.215362266206644,0.7727272727272759
ADME,cyp2c9_substrate_carbonmangels,AUROC,G3,0.6245,0.0226,0.622,0.0025000000000000577,CYP2C9 기질,675.0,0.40192926045017,0.11061946902655123
ADME,cyp2c9_veith,AUROC,G2,0.8877,0.002,0.8861,0.0016000000000000458,CYP2C9 억제,12095.0,-1.126506702714882,0.8000000000000229
ADME,cyp2d6_substrate_carbonmangels,AUROC,G2,0.8193,0.0052,0.8093,0.010000000000000009,CYP2D6 기질,670.0,-6.529964603930183,1.923076923076925
ADME,cyp2d6_veith,AUROC,G2,0.8675,0.0032,0.8651,0.0024000000000000687,CYP2D6 억제,13130.0,-0.6455331412103803,0.7500000000000214
ADME,cyp3a4_substrate_carbonmangels,AUROC,G2,0.6559,0.0191,0.6456,0.010300000000000087,CYP3A4 기질,670.0,-12.41042841896631,0.5392670157068109
ADME,cyp3a4_veith,AUROC,G3,0.8856,0.0043,0.884,0.0016000000000000458,CYP3A4 억제,12335.0,0.18099547511312736,0.3720930232558246
ADME,half_life_obach,Spearman,G4,0.4697,0.0357,0.3139,0.1558,반감기,670.0,-46.44791334820007,4.364145658263305
ADME,hia_hou,AUROC,G2,0.9751,0.0028,0.9722,0.0029000000000000137,HIA 흡수,585.0,-6.881345503025324,1.0357142857142907
ADME,lipophilicity_astrazeneca,MAE,G3,0.4406,0.0102,0.4907,0.05010000000000003,친유성 logD,4200.0,20.869252873563216,4.911764705882356
ADME,pgp_broccatelli,AUROC,G2,0.9097,0.0178,0.909,0.0006999999999999229,P-gp 기질,1225.0,-0.07694844454214829,0.03932584269662488
ADME,ppbr_az,MAE,G3,8.0464,0.2577,8.1186,0.07220000000000049,혈장단백결합,1715.0,0.8893158919025507,0.2801707411719072
ADME,solubility_aqsoldb,MAE,G4,0.7358,0.0087,0.7643,0.02849999999999997,수용해도,9975.0,-3.833573204239172,3.275862068965514
ADME,vdss_lombardo,Spearman,G4,0.601,0.0338,0.5765,0.024499999999999966,분포용적 VDss,1105.0,-18.3347788378144,0.7248520710059162
