scope,endpoint,task,gen_range,gen,model,kind,metric,higher_better,value,sd,n_test,pos_rate,resolvable_gap_95,g1_fire_rate,g1_MCC,flag,source
핵심 4종,DILI 간독성,—,G1~G5,G1,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),우리 학습,AUROC,True,,,96,,0.1112,0.3542,0.3615,누수 없음(학습 없음·규칙),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,DILI 간독성,—,G1~G5,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.9062,0.0207,96,,0.1112,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,DILI 간독성,—,G1~G5,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.9125,0.0093,96,,0.1112,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,DILI 간독성,—,G1~G5,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.8501,0.0235,96,,0.1112,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,DILI 간독성,—,G1~G5,G4,"Uni-Mol (3D conformer, 2억 사전학습)",우리 학습,AUROC,True,0.8705,0.0134,96,,0.1112,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,DILI 간독성,—,G1~G5,G5,"ChemBERTa-2 (SMILES transformer, fine-tune)",우리 학습,AUROC,True,0.8406,0.0327,96,,0.1112,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,DILI 간독성,—,G1~G5,G5,"MoLFormer (SMILES transformer, fine-tune)",우리 학습,AUROC,True,0.881,0.0077,96,,0.1112,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,DILI 간독성,—,G1~G5,G3,chemprop D-MPNN (우리 자체 학습·정직),우리 학습,AUROC,True,0.9039,0.0119,96,,0.1112,,,누수 0(실측·train만 학습),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,DILI 간독성,—,G1~G5,G3,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",누수 기준선,AUROC,True,0.9557,,96,,0.1112,,,★누수 의심 (TDC 전체 사전학습),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,DILI 간독성,—,G1~G5,참고,TDC SOTA — MiniMol,리더보드(미재현),AUROC,True,0.956,,96,,0.1112,,,—(외부 인용),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,G1,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),우리 학습,AUROC,True,,,132,,0.0902,0.1818,-0.0283,누수 없음(학습 없음·규칙),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8219,0.0151,132,,0.0902,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.8369,0.0052,132,,0.0902,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.7349,0.0123,132,,0.0902,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,G4,"Uni-Mol (3D conformer, 2억 사전학습)",우리 학습,AUROC,True,0.8047,0.0261,132,,0.0902,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,G5,"ChemBERTa-2 (SMILES transformer, fine-tune)",우리 학습,AUROC,True,0.7388,0.0205,132,,0.0902,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,G5,"MoLFormer (SMILES transformer, fine-tune)",우리 학습,AUROC,True,0.8169,0.0121,132,,0.0902,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,G3,chemprop D-MPNN (우리 자체 학습·정직),우리 학습,AUROC,True,0.7972,0.0101,132,,0.0902,,,누수 0(실측·train만 학습),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,G3,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",누수 기준선,AUROC,True,0.9113,,132,,0.0902,,,★누수 의심 (TDC 전체 사전학습),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,hERG 차단,—,G1~G5,참고,TDC SOTA — MapLight+GNN,리더보드(미재현),AUROC,True,0.88,,132,,0.0902,,,—(외부 인용),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,G1,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),우리 학습,AUROC,True,,,1457,,0.0277,0.5278,0.2602,누수 없음(학습 없음·규칙),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8513,0.0059,1457,,0.0277,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.8422,0.0049,1457,,0.0277,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.8258,0.0024,1457,,0.0277,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,G4,"Uni-Mol (3D conformer, 2억 사전학습)",우리 학습,AUROC,True,0.8228,0.0029,1457,,0.0277,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,G5,"ChemBERTa-2 (SMILES transformer, fine-tune)",우리 학습,AUROC,True,0.8022,0.0212,1457,,0.0277,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,G5,"MoLFormer (SMILES transformer, fine-tune)",우리 학습,AUROC,True,0.8352,0.0083,1457,,0.0277,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,G3,chemprop D-MPNN (우리 자체 학습·정직),우리 학습,AUROC,True,0.8333,0.0089,1457,,0.0277,,,누수 0(실측·train만 학습),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,G3,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",누수 기준선,AUROC,True,0.9303,,1457,,0.0277,,,★누수 의심 (TDC 전체 사전학습),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,AMES 변이원성,—,G1~G5,참고,TDC SOTA — ZairaChem,리더보드(미재현),AUROC,True,0.871,,1457,,0.0277,,,—(외부 인용),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,G1,구조알림 (BRENK+NIH + Benigni-Bossa SMARTS 10),우리 학습,MAE,False,,,1478,,0.0426,0.2936,,누수 없음(학습 없음·규칙),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,G2,물리화학 서술자 + XGBoost,우리 학습,MAE,False,0.6071,0.007,1478,,0.0426,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,G2,물리화학 서술자 + RandomForest,우리 학습,MAE,False,0.621,0.012,1478,,0.0426,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,G2,ECFP4 지문 + XGBoost,우리 학습,MAE,False,0.6406,0.0086,1478,,0.0426,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,G4,"Uni-Mol (3D conformer, 2억 사전학습)",우리 학습,MAE,False,0.5939,0.0185,1478,,0.0426,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,G5,"ChemBERTa-2 (SMILES transformer, fine-tune)",우리 학습,MAE,False,0.7012,0.0057,1478,,0.0426,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,G5,"MoLFormer (SMILES transformer, fine-tune)",우리 학습,MAE,False,0.6412,0.0087,1478,,0.0426,,,누수 0(실측·exact overlap 0),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,G3,chemprop D-MPNN (우리 자체 학습·정직),우리 학습,MAE,False,0.6398,0.0212,1478,,0.0426,,,누수 0(실측·train만 학습),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,G3,"ADMET-AI (Chemprop D-MPNN, 공개 사전학습)",누수 기준선,MAE,False,0.3361,,1478,,0.0426,,,★누수 의심 (TDC 전체 사전학습),experiment_generation_matrix/results/gen_matrix.csv
핵심 4종,LD50 급성독성,—,G1~G5,참고,TDC SOTA — BaseBoosting,리더보드(미재현),MAE,False,0.552,,1478,,0.0426,,,—(외부 인용),experiment_generation_matrix/results/gen_matrix.csv
확장,발암성 (Carcinogens),—,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,56,0.1964,0.2349,0.3036,0.3578,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,발암성 (Carcinogens),—,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8366,0.0143,56,0.1964,0.2349,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,발암성 (Carcinogens),—,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.8139,0.0047,56,0.1964,0.2349,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,발암성 (Carcinogens),—,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.8018,0.0061,56,0.1964,0.2349,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,발암성 (Carcinogens),—,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.7568,0.0037,56,0.1964,0.2349,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,발암성 (Carcinogens),—,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.8697,,56,0.1964,0.2349,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,ClinTox 임상독성,—,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,297,0.0808,0.1536,0.3502,0.0931,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,ClinTox 임상독성,—,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8014,0.0049,297,0.0808,0.1536,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,ClinTox 임상독성,—,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.7556,0.0072,297,0.0808,0.1536,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,ClinTox 임상독성,—,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.7775,0.0058,297,0.0808,0.1536,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,ClinTox 임상독성,—,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.6891,0.0216,297,0.0808,0.1536,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,ClinTox 임상독성,—,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.8985,,297,0.0808,0.1536,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,NR-AR,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1437,0.0418,0.0962,0.2832,0.0232,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,NR-AR,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.7285,0.0066,1437,0.0418,0.0962,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AR,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.6976,0.0113,1437,0.0418,0.0962,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AR,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.7499,0.0059,1437,0.0418,0.0962,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AR,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.6687,0.0039,1437,0.0418,0.0962,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AR,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.8535,,1437,0.0418,0.0962,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,NR-AR-LBD,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1305,0.0261,0.1274,0.2851,0.0352,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,NR-AR-LBD,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8101,0.0077,1305,0.0261,0.1274,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AR-LBD,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.7767,0.0048,1305,0.0261,0.1274,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AR-LBD,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.7334,0.0072,1305,0.0261,0.1274,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AR-LBD,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.7214,0.006,1305,0.0261,0.1274,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AR-LBD,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.8945,,1305,0.0261,0.1274,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,NR-AhR,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1268,0.1806,0.0508,0.2863,0.0474,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,NR-AhR,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8692,0.0034,1268,0.1806,0.0508,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AhR,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.8681,0.0013,1268,0.1806,0.0508,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AhR,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.862,0.0034,1268,0.1806,0.0508,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-AhR,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.8313,0.0016,1268,0.1806,0.0508,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
