endpoint,task,n_test,n_pos,pos_rate,n_models,seeds,sha256_16,status
Carcinogens_Lagunin,cls,55,11,0.2,3,0|1|2|3|4|5,a077f6e1768fee93,OK
ClinTox,cls,292,22,0.0753,3,0|1|2|3|4|5,3ee8a9d3813fd948,OK
Tox21__NR-AR,cls,1437,60,0.0418,3,0|1|2|3|4|5,fe070f2091a218c4,OK
Tox21__NR-AR-LBD,cls,1305,34,0.0261,3,0|1|2|3|4|5,329bfc441f322c1b,OK
Tox21__NR-AhR,cls,1268,229,0.1806,3,0|1|2|3|4|5,ab40a2bd0aacf713,OK
Tox21__NR-Aromatase,cls,1051,95,0.0904,3,0|1|2|3|4|5,d22da4c644070e09,OK
Tox21__NR-ER,cls,1152,199,0.1727,3,0|1|2|3|4|5,28aa182cf5fd81df,OK
Tox21__NR-ER-LBD,cls,1335,91,0.0682,3,0|1|2|3|4|5,b117fbc6931488f6,OK
Tox21__NR-PPAR-gamma,cls,1209,46,0.038,3,0|1|2|3|4|5,2487eaf23f5ca28a,OK
Tox21__SR-ARE,cls,1056,220,0.2083,3,0|1|2|3|4|5,9d65ab913fad43f9,OK
Tox21__SR-ATAD5,cls,1372,61,0.0445,3,0|1|2|3|4|5,d720cfbd8514c001,OK
Tox21__SR-HSE,cls,1213,84,0.0692,3,0|1|2|3|4|5,fa557c2919224331,OK
Tox21__SR-MMP,cls,1052,268,0.2548,3,0|1|2|3|4|5,6e0f563f437d18cf,OK
Tox21__SR-p53,cls,1294,120,0.0927,3,0|1|2|3|4|5,dd115727861edab8,OK
ames,cls,1453,866,0.596,3,0|1|2|3|4|5,7d4dfb5a3c9b4a93,OK
bbb_martins,cls,394,317,0.8046,6,0|1|2|3|4|5,249229499dc67f47,OK
bioavailability_ma,cls,128,97,0.7578,6,0|1|2|3|4|5,89030e1c4f4fcac8,OK
caco2_wang,reg,181,,,6,0|1|2|3|4|5,a6d4b7509100ce96,OK
clearance_hepatocyte_az,reg,203,,,6,0|1|2|3|4|5,f12cd8c57a90024a,OK
clearance_microsome_az,reg,221,,,6,0|1|2|3|4|5,cec6e3631f1c3758,OK
cyp2c9_substrate_carbonmangels,cls,135,38,0.2815,6,0|1|2|3|4|5,3cd0d3db9b4e5cd7,OK
cyp2c9_veith,cls,2419,770,0.3183,6,0|1|2|3|4|5,e140ddc26daa7bcc,OK
cyp2d6_substrate_carbonmangels,cls,134,42,0.3134,6,0|1|2|3|4|5,7252a68ec3b12563,OK
cyp2d6_veith,cls,2626,443,0.1687,6,0|1|2|3|4|5,93af2dde732e76f6,OK
cyp3a4_substrate_carbonmangels,cls,134,78,0.5821,6,0|1|2|3|4|5,0d3478d0d096f63b,OK
cyp3a4_veith,cls,2467,1082,0.4386,6,0|1|2|3|4|5,e3f00cddf4b621b1,OK
dili,cls,96,50,0.5208,3,0|1|2|3|4|5,6e0e24c9eb810553,OK
half_life_obach,reg,134,,,6,0|1|2|3|4|5,749286b757cf1a01,OK
herg,cls,128,95,0.7422,3,0|1|2|3|4|5,98d2534ac230ac29,OK
hia_hou,cls,117,90,0.7692,6,0|1|2|3|4|5,4132e749256e3554,OK
ld50_zhu,reg,1466,,,3,0|1|2|3|4|5,b0058dd919f40ba7,OK
lipophilicity_astrazeneca,reg,840,,,6,0|1|2|3|4|5,46e911350cbd2ba7,OK
pgp_broccatelli,cls,245,124,0.5061,6,0|1|2|3|4|5,dc5abf3de86a5adf,OK
ppbr_az,reg,343,,,6,0|1|2|3|4|5,2ebf1a583a39ab99,OK
solubility_aqsoldb,reg,1995,,,6,0|1|2|3|4|5,c83a24a86dff1f24,OK
vdss_lombardo,reg,221,,,6,0|1|2|3|4|5,c50b6c695b2d9a6e,OK
